by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5
supermdguy,38620389,3,2023-12-12 23:36:40 UTC,Show HN: Hands-Free Anki AI Assistant,https://github.com/superMDguy/anki-assistant,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
wowitsjack,38626397,5,2023-12-13 12:29:59 UTC,Show HN: AI-Audiobook-Maker: Helping My Disabled Little Cousin Enjoy Story Books,https://github.com/wowitsjack/AI-Audiobook-Maker,7,4,2,1,2,1,14,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
taubek,38626489,1,2023-12-13 12:39:24 UTC,"GPT Pilot is a true AI developer that writes code, debugs it",https://github.com/Pythagora-io/gpt-pilot,3902,2443,778,4573,1606,657,63,156,123,86,74,69,63,134,110,86,39,75,371,275,99,669,172,84,9,9,6,9,6,7
wirelesslife,38626727,5,2023-12-13 13:04:15 UTC,Mastering GitHub Copilot for AI Paired Programming,https://github.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,3214,538,161,159,151,88,2,0,1,5,49,4,14,0,0,4,11,7,285,83,29,36,25,146,6,0,1,3,3,4
PaulHoule,38627463,2,2023-12-13 14:03:13 UTC,Clipboard Conqueror: Your own AI assistant for any text field,https://github.com/aseichter2007/ClipboardConqueror,60,27,28,20,35,33,43,10,5,7,8,29,0,2,0,0,0,0,1,2,2,2,2,2,1,2,1,1,1,1
crabasa,38630922,18,2023-12-13 17:36:05 UTC,"We built a Taylor Swift chatbot using AstraDB, Cohere, LangChain and Vercel AI",https://github.com/datastax/SwiftieGPT,21,2,2,2,8,7,2,0,2,0,3,0,2,0,5,0,0,0,1,0,0,3,2,0,2,0,2,0,1,0
darajava,38631971,3,2023-12-13 18:33:51 UTC,New AI Spam Detection Deployed to Gmail and Open Sourced by Google,https://github.com/google-research/retvec,165,9,13,14,4,4,0,0,0,0,0,0,1,2,1,0,2,0,11,0,1,0,0,2,1,1,1,0,1,0
xan_ps007,38634111,5,2023-12-13 21:04:08 UTC,Show HN: Enabling end-to-end LLM-based voice driven conversational applications,https://github.com/bolna-ai/bolna,15,13,20,43,29,77,89,73,51,56,55,131,50,31,26,57,31,138,3,6,3,14,11,23,2,4,3,3,4,6
Jayakumark,38637853,204,2023-12-14 04:42:00 UTC,Windows AI Studio Preview,https://github.com/microsoft/windows-ai-studio,604,84,33,18,21,5,14,2,0,0,0,1,12,4,0,0,0,2,13,8,3,3,0,2,5,2,0,0,0,1
vincent_s,38638809,1,2023-12-14 07:39:24 UTC,Open source LLM that can execute functions and plugins,https://github.com/MeetKai/functionary,86,174,154,77,146,93,57,77,12,7,62,89,11,23,10,7,38,25,9,6,16,13,12,7,4,5,6,3,6,3
muragekibicho,38640410,3,2023-12-14 11:56:03 UTC,Anti Python AI Club: AI for Python H8ers,https://github.com/Fileforma/AntiPython-AI-Club,14,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
happycry,38641748,3,2023-12-14 14:35:17 UTC,Open source speech denoising and enhancement AI Model,https://github.com/resemble-ai/resemble-enhance,389,236,57,125,66,59,7,2,2,0,0,1,0,0,0,0,0,1,29,24,6,8,8,6,2,1,1,0,0,2
jcater,38643189,2,2023-12-14 16:32:37 UTC,Pearl – A Production-Ready Reinforcement Learning AI Agent Library by Meta,https://github.com/facebookresearch/Pearl,1773,161,121,49,44,32,18,22,37,25,58,8,13,20,17,0,9,5,102,10,4,6,10,7,9,6,5,3,4,3
jamesmurdza,38643896,1,2023-12-14 17:13:26 UTC,Call every LLM API with curl or Python,https://github.com/jamesmurdza/llm-api-examples,7,2,0,1,0,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0
transitivebs,38645421,15,2023-12-14 18:51:14 UTC,Use Coffee to iterate on your frontend using AI,https://github.com/Coframe/coffee,1099,130,48,31,10,29,25,4,0,0,0,1,28,4,1,0,0,1,43,8,6,3,0,0,5,2,1,0,0,1
tosh,38647796,8,2023-12-14 21:51:10 UTC,Medprompt+: GPT-4 vs. Gemini Ultra,https://github.com/microsoft/promptbase,4125,338,132,263,76,110,69,149,0,0,30,12,21,44,0,0,2,2,249,18,6,15,6,8,4,2,0,0,1,1
?.?.-11,38648564,3,2023-12-14 22:58:03 UTC,"App for self hosted LLMs (llama, mistral, vicuna)",https://github.com/AugustDev/enchanted,110,177,384,355,435,374,11,9,32,13,26,26,8,2,7,12,17,24,8,16,27,18,24,26,1,1,1,2,2,3
tosh,38653416,1,2023-12-15 12:20:43 UTC,LLM-Mistral,https://github.com/simonw/llm-mistral,73,13,24,8,2,0,7,0,3,0,4,0,0,1,1,0,0,0,5,3,0,0,1,0,1,1,1,0,1,0
rohanphadte,38657953,1,2023-12-15 19:45:46 UTC,"Codeium, a free AI Code autocomplete tool, open sources Visual Studio Extension",https://github.com/Exafunction/CodeiumVisualStudio,35,13,4,19,14,20,32,3,4,8,1,3,43,3,3,8,3,3,5,5,3,2,1,4,3,3,1,1,2,2
foxhop,38664164,4,2023-12-16 13:50:21 UTC,"Show HN: Alternative Front End to GPT, Claude, or Mistral Flask/Socketio",https://github.com/russellballestrini/flask-socketio-llm-completions,3,3,4,1,2,1,11,11,5,7,6,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
kugurerdem,38664793,1,2023-12-16 15:14:51 UTC,Show HN: Simple Script for Enhanced LLM Interaction in Vim,https://github.com/kugurerdem/vi-llm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrdsmsh321,38668384,3,2023-12-16 22:32:57 UTC,Large New Dataset 220k AI Art Text to Image Prompts,https://github.com/lee101/artificial-intelligence-art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vincent_s,38672497,2,2023-12-17 12:45:09 UTC,"Easy, fast, and cheap LLM serving for everyone",https://github.com/vllm-project/vllm,1616,1206,1498,1751,1751,1489,117,151,311,265,265,289,263,297,568,572,572,594,268,214,312,321,321,278,83,91,124,125,125,117
Shimoku,38674931,2,2023-12-17 18:12:14 UTC,Shimoku: Revolutionize AI App Development with Pure Python,https://github.com/shimoku-tech/shimoku-api-python,2,2,2,2,2,1,23,57,31,35,35,14,4,14,7,5,5,2,0,0,0,0,0,0,2,1,2,2,2,3
ulrischa,38675596,1,2023-12-17 19:28:26 UTC,OpenAI/Weak-to-Strong,https://github.com/openai/weak-to-strong,147,68,60,51,51,28,3,0,0,0,0,0,12,4,0,1,1,7,23,18,9,7,7,4,5,3,0,1,1,4
MaryCsb,38681058,12,2023-12-18 10:50:09 UTC,"An AI tuner for guitar, ukulele, bass and etc.",https://github.com/FastTune/FastTune,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyx1337,38682095,83,2023-12-18 13:27:35 UTC,"Jarvis: A Voice Virtual Assistant in Python (OpenAI, ElevenLabs, Deepgram)",https://github.com/AlexandreSajus/JARVIS,51,33,34,37,19,11,0,0,0,0,0,0,0,0,0,0,0,0,14,15,18,13,6,6,0,0,0,0,0,0
rjkeck2,38689024,2,2023-12-18 22:06:32 UTC,Show HN: Golang client library for Mistral AI platform,https://github.com/robertjkeck2/mistral-go,1,1,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0
hubraumhugo,38692694,3,2023-12-19 06:58:42 UTC,The Java Spring AI Project,https://github.com/spring-projects/spring-ai,331,172,227,610,217,234,74,133,107,90,119,110,58,80,129,111,129,178,58,49,81,130,78,71,24,21,38,35,43,48
_false,38693876,3,2023-12-19 10:14:52 UTC,Openlogprobs: Extract full next-token probabilities via language model APIs,https://github.com/justinchiu/openlogprobs,64,1,21,14,4,1,1,0,0,0,0,0,1,1,0,0,0,0,5,1,3,0,0,1,1,1,0,0,0,0
dataminer,38708585,417,2023-12-20 13:46:08 UTC,High-Speed Large Language Model Serving on PCs with Consumer-Grade GPUs,https://github.com/SJTU-IPADS/PowerInfer,691,145,226,143,74,549,22,9,37,13,1,6,20,8,11,6,2,7,51,9,14,11,9,26,5,3,3,2,2,3
pama,38719675,2,2023-12-21 12:35:40 UTC,Building blocks for AI systems: links to modern state space model research,https://github.com/HazyResearch/aisys-building-blocks,53,14,20,11,17,9,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,1,0,0,0,0,0
tosh,38725700,3,2023-12-21 19:41:54 UTC,Llama-Terminal-Completion,https://github.com/adammpkins/llama-terminal-completion,7,3,3,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0
hsluoyz,38730790,80,2023-12-22 03:59:17 UTC,Open-source AI knowledge database with web UI and Enterprise SSO,https://github.com/casibase/casibase,68,41,299,206,166,134,11,16,134,43,28,73,16,29,49,20,30,66,4,4,35,16,16,16,3,3,6,4,6,8
radhakrsna,38733891,15,2023-12-22 13:24:32 UTC,"Show HN: GPT Router – Open-Source API Gateway for LLMs (OpenAI, Anthropic, etc.)",https://github.com/Writesonic/GPTRouter,42,16,19,23,11,9,0,0,0,0,0,0,0,1,4,0,0,0,3,0,1,0,3,0,0,1,1,0,0,0
natbarling,38739183,5,2023-12-22 22:01:27 UTC,"Show HN: Sunlight, use an LLM to debias your content",https://github.com/a16z-infra/sunlight,1,9,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
enochyearn,38741501,2,2023-12-23 03:59:08 UTC,RoBERTa and MLX = NLP on Your iPhone,https://github.com/enochyearn/MLX_RoBERTa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eddieweng,38743919,2,2023-12-23 12:57:26 UTC,Animediff – turn images into videos by AI,https://github.com/guoyww/AnimateDiff,658,477,499,360,353,489,0,4,0,0,0,0,0,1,0,3,0,2,49,44,47,40,37,37,0,2,0,3,0,2
weirdcat,38745348,621,2023-12-23 16:19:49 UTC,Ferret: A Multimodal Large Language Model,https://github.com/apple/ml-ferret,1731,296,147,216,150,235,0,0,0,0,0,0,7,0,1,0,0,0,135,24,28,19,16,9,5,0,1,0,0,0
PaulHoule,38749435,5,2023-12-23 23:42:59 UTC,Medusa: Framework for Accelerating LLM Generation with Multiple Decoding Heads,https://github.com/FasterDecoding/Medusa,256,121,120,79,69,57,6,0,0,1,0,0,5,3,0,2,2,1,11,13,15,9,5,4,2,3,0,2,2,1
vignesh_warar,38758592,3,2023-12-25 00:58:56 UTC,AI Employe: An Open-Source Alternative to Adept.ai,https://github.com/vignshwarar/AI-Employe,138,20,28,17,14,8,4,1,0,0,0,0,0,0,0,0,0,0,14,2,3,1,3,1,1,1,0,0,0,0
copetime,38760518,2,2023-12-25 07:13:17 UTC,A script to set up Google gemini on telegram bot using vercel,https://github.com/winniesi/tg-gemini-bot,15,9,14,8,10,5,15,1,1,0,0,0,3,2,1,0,0,0,7,13,18,5,9,3,1,2,1,0,0,0
tslmy,38764594,2,2023-12-25 17:57:53 UTC,Llama Lab: Ambitious projects built on top of LlamaIndex,https://github.com/run-llama/llama-lab,59,45,44,31,31,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,2,3,1,0,0,0,0,0,0
graphitout,38770823,20,2023-12-26 11:27:07 UTC,Show HN: A web-app to explore topics using LLM,https://github.com/charstorm/llmbinge,5,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
xsigoking,38771073,3,2023-12-26 12:04:28 UTC,"Aichat: Use GPT-4(V), Gemini, LocalAI, Ollama and Other LLMs in the Terminal",https://github.com/sigoden/aichat,180,131,242,295,208,217,6,23,66,196,105,117,8,21,71,128,107,168,12,4,13,20,7,18,2,2,5,3,6,4
muttled,38775374,3,2023-12-26 19:52:06 UTC,Show HN: Made a batching LLM API for a project. Mistral 200 tk/s on RTX 3090,https://github.com/epolewski/EricLLM,25,16,10,15,5,6,9,0,3,2,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,0,1,1,0,0
illgenr,38777171,1,2023-12-26 23:23:52 UTC,An Emacs Porcelain for LLM,https://github.com/illgenr/llm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keepamovin,38783583,1,2023-12-27 16:32:17 UTC,ChatGPT-TUI Terminal-based user interface for ChatGPT,https://github.com/narinluangrath/chatgpt-tui,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shidayat,38790243,1,2023-12-28 05:05:12 UTC,Show HN: Chatrouter – Python Router for Chatbot,https://github.com/cirebon-dev/chatrouter,0,0,0,0,0,0,7,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
daavidhauser,38792941,1,2023-12-28 12:48:39 UTC,Create an AI clone of yourself (Code and tutorial),https://github.com/kinggongzilla/ai-clone-whatsapp,38,8,12,46,24,11,1,0,1,14,0,2,0,0,0,0,0,0,5,2,5,2,5,2,1,0,1,1,0,1
cleverbit,38799712,1,2023-12-28 22:47:00 UTC,GPT helped me build a Python tool to work with the OpenAI Assistants API,https://github.com/richarddas/OpenAI-Python-Tools,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
_andrei_,38805137,1,2023-12-29 14:20:55 UTC,Show HN: PromptPack – interactive CLI tool to pack files into an LLM prompt,https://github.com/3rd/promptpack,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radq,38812198,9,2023-12-30 01:49:07 UTC,"Show HN: Moondream, a small vision language model that runs on 8GB of RAM",https://github.com/vikhyat/moondream,1173,708,1128,370,433,322,27,2,36,11,7,9,15,1,0,4,4,1,84,61,117,39,37,17,9,2,2,4,4,2
andy99,38819214,1,2023-12-30 21:13:20 UTC,Guardrails AI,https://github.com/guardrails-ai/guardrails,128,203,189,142,136,132,55,149,173,85,185,368,35,67,120,46,62,82,15,10,28,7,10,15,8,10,12,9,9,13
ziptron,38821337,2,2023-12-31 02:52:49 UTC,GPT Video – Reproducing the Gemini Demo Using GPT 4 Vision,https://github.com/jide/gpt-video,26,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,4,1,0,0,0,0,0,0
yla92,38822164,377,2023-12-31 05:59:11 UTC,Emacs-copilot: Large language model code completion for Emacs,https://github.com/jart/emacs-copilot,281,27,16,23,24,11,1,0,0,0,0,0,1,0,0,0,0,0,8,1,0,3,2,0,2,0,0,0,0,0
aiNohY6g,38825378,1,2023-12-31 16:52:24 UTC,Gp.nvim: Neovim plugin ChatGPT text/code operations and Speech to text,https://github.com/Robitx/gp.nvim,109,43,53,38,37,39,25,12,5,0,3,0,9,4,1,3,3,1,9,2,4,4,3,4,5,4,2,3,1,1
RonanOD,38827769,3,2023-12-31 21:44:40 UTC,AI Assisted Open Source App for Autism,https://github.com/RonanOD/OpenAAC,9,6,1,4,0,1,24,21,1,5,6,2,12,34,2,2,10,4,2,0,0,2,0,0,2,2,1,2,2,2
ctur,38828231,6,2023-12-31 22:53:47 UTC,Gptel: A simple LLM client for Emacs,https://github.com/karthink/gptel,90,63,98,61,57,61,38,23,63,19,15,28,4,11,8,12,13,6,10,9,4,14,8,6,4,7,6,7,7,3
TheIronYuppie,38835526,1,2024-01-01 21:30:45 UTC,`catgpt` is a command-line tool that uses the OpenAI model to generate text,https://github.com/ibuildthecloud/catgpt,85,5,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
wangyaozhi,38840844,1,2024-01-02 12:16:16 UTC,Show HN: A Chrome Extension to Get Personal 2023 ChatGPT Interaction Review,https://github.com/yaozhiwang/chatgpt-sugar,4,1,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
wslh,38843465,1,2024-01-02 16:31:13 UTC,NeuroEngine allows users to share their LLM creations with others,https://github.com/ortegaalfredo/neuroengine,5,4,1,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
redactai,38843634,2,2024-01-02 16:43:44 UTC,Show HN: I built a private way to interact with LLM APIs using your documents,https://github.com/itsliamdowd/Redact,10,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AaronFriel,38845892,2,2024-01-02 19:29:53 UTC,"Fn-stream (JS Library) – Create AI applications with streaming, structured LLMs",https://github.com/AaronFriel/fn-stream,10,4,5,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rjmacarthy,38853495,4,2024-01-03 12:54:18 UTC,"Ollama AI code completion plugin for VSCode, 100% free and 100% private",https://github.com/rjmacarthy/twinny,192,328,285,533,286,338,186,222,108,78,24,0,48,68,39,14,3,0,7,25,18,24,12,19,3,9,6,3,2,0
T-A,38859749,237,2024-01-03 20:53:50 UTC,TinyGPT-V: Efficient Multimodal Large Language Model via Small Backbones,https://github.com/DLYuanGod/TinyGPT-V,903,34,36,27,26,20,22,0,1,2,0,0,0,0,0,0,0,0,46,6,7,1,1,2,2,0,1,1,0,0
skywarth,38871273,1,2024-01-04 19:39:37 UTC,OpenAI API Status Prober for Prometheus Blackbox,https://github.com/skywarth/openai-api-status-prober,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neelkumar54,38871957,1,2024-01-04 20:41:25 UTC,Automate Your iOS Localization with AI,https://github.com/kumarneel/SwiftLingo,5,1,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
md5sha256,38897408,2,2024-01-07 01:23:09 UTC,Show HN: AI Wrapped,https://github.com/kunaljaydesai/ai-wrapped,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gavi,38898798,4,2024-01-07 05:38:56 UTC,Fine-Tuning Mistral 7B with WhatsApp Chats – A Practical MLX Project,https://github.com/gavi/mlx-whatsapp,133,4,2,2,0,2,6,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,1,2,0,0,0,0,0
ulrischa,38904970,5,2024-01-07 20:45:51 UTC,"CrewAI: Framework for orchestrating role-playing, autonomous AI agents",https://github.com/joaomdmoura/crewAI,5235,2068,2204,2191,2003,1416,104,94,92,96,153,125,70,39,71,65,105,67,546,299,376,354,319,243,27,23,31,29,34,29
tosh,38905417,3,2024-01-07 21:39:34 UTC,SelfExtend Attention for Mistral,https://github.com/sdan/selfextend,101,2,6,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
billyzee,38909249,4,2024-01-08 07:50:48 UTC,Show HN: YouTube Summarization Chatbot,https://github.com/itsBIllyZee/YTChatBot,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
roh26it,38911677,37,2024-01-08 13:35:09 UTC,"Show HN: A lightweight AI gateway to 100+ models, in TS",https://github.com/Portkey-AI/gateway,3073,343,545,257,325,229,58,61,56,47,47,19,59,39,44,34,47,31,162,29,55,37,35,27,9,7,9,11,9,9
cbracketdash,38918363,2,2024-01-08 21:23:50 UTC,Accessible AI for Everyone,https://github.com/Significant-Gravitas/AutoGPT,1850,1535,2224,1678,1509,1195,63,141,167,122,252,341,378,257,181,75,76,192,1320,1173,1435,1140,1037,758,80,109,53,25,16,18
tosh,38925728,1,2024-01-09 13:07:41 UTC,Chatbot UI 2.0,https://github.com/mckaywrigley/chatbot-ui,4027,911,872,604,627,436,160,51,31,8,6,8,225,59,87,46,27,25,819,382,391,247,253,165,34,23,21,21,15,11
todsacerdoti,38925802,146,2024-01-09 13:16:00 UTC,"AI Toolkit: Give a brain to your game's NPCs, a header-only C++ library",https://github.com/linkdd/aitoolkit,376,17,11,6,4,8,38,0,0,0,7,0,4,0,0,0,2,0,17,2,2,0,1,2,3,0,0,0,3,0
dlojudice,38926307,5,2024-01-09 14:06:38 UTC,"Show HN: Assistant-TUI, a terminal user interface for OpenAI's assistant API",https://github.com/dalssoft/assistant-tui,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tjardo,38927477,1,2024-01-09 15:52:14 UTC,Show HN: ChatGPT built in Rust + Vue,https://github.com/tjardoo/openai-chat,3,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
robatwilliams,38939745,2,2024-01-10 15:13:14 UTC,Show HN: Excel add-in for OpenAI prompt engineering in spreadsheets,https://github.com/robatwilliams/openai-excel-functions,12,3,4,1,1,1,8,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
jasonjmcghee,38940748,2,2024-01-10 17:10:09 UTC,Show HN: Open Source Educational Video Generator (OpenAI and FFmpeg WASM),https://github.com/jasonjmcghee/vlearn,9,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
cvhashim04,38940817,2,2024-01-10 17:17:00 UTC,ChatGPT Code Block Modal Extension,https://github.com/osman144/chatgpt-code-modal-extension,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
seansh,38940984,2,2024-01-10 17:35:31 UTC,"Convert GitHub Copilot to ChatGPT, free to use the GPT-4 model",https://github.com/aaamoon/copilot-gpt4-service,7866,722,479,0,0,0,128,32,5,0,0,0,169,28,10,0,0,0,652,91,67,0,0,0,32,7,7,0,0,0
lxe,38949005,4,2024-01-11 07:41:39 UTC,Show HN: LLM-Companion: push-to-talk + TTS web chat app for OpenAI-like APIs,https://github.com/lxe/llm-companion,15,3,2,5,2,2,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
GradientSurfer,38962282,5,2024-01-12 01:24:52 UTC,Jan is an open source alternative to ChatGPT that runs 100% offline,https://github.com/janhq/jan,7636,2541,3312,3055,1675,1218,1022,597,756,386,268,114,515,295,352,224,117,99,389,183,162,249,97,65,27,21,18,15,13,11
vinothgopi,38972080,1,2024-01-12 18:41:08 UTC,"Llmware.ai – AI Tools for Financial, Legal and Compliance",https://github.com/llmware-ai/llmware,398,742,269,171,905,173,67,88,61,169,198,67,134,179,138,163,290,156,43,53,35,30,535,31,11,6,6,3,33,8
yutakobayashi,38978446,13,2024-01-13 09:36:15 UTC,Show HN: Blockly BOT – AI to assist in learning block programming,https://github.com/yutakobayashidev/blockly-gpt,12,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
ricklamers,38979284,6,2024-01-13 12:14:25 UTC,Show HN: BuildAnything – stream LLM HTML to an iframe,https://github.com/ricklamers/buildanything,22,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0
amaldavid,38982679,3,2024-01-13 18:05:08 UTC,WhatsApp Parser for LLM Instruction Finetuning,https://github.com/Amal-David/whatsapp-llm,1,0,3,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
guillermoscript,38984444,7,2024-01-13 20:53:16 UTC,Show HN: GitHub Bot to Detect Duplicate Issues with OpenAI and Supabase,https://github.com/guillermoscript/repo-assistant,11,0,3,2,1,3,12,7,0,0,0,0,10,24,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
devon_c,38990264,2,2024-01-14 13:40:06 UTC,Show HN: Open-Source AI Interview Trainer,https://github.com/dcrebbin/ai-interview-trainer-frontend,3,1,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
atgreen,38990388,1,2024-01-14 13:55:59 UTC,Implementing allow-lists for AI services in GNU Emacs,https://github.com/atgreen/emacs-allow-lists-for-ai-services,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
speps,38990677,2,2024-01-14 14:25:38 UTC,MegaHAL: A Learning Chatbot (1998),https://github.com/kranzky/megahal,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ignoramous,38992601,547,2024-01-14 17:58:06 UTC,Vanna.ai: Chat with your SQL database,https://github.com/vanna-ai/vanna,4176,579,491,740,752,1380,36,18,20,40,24,20,44,22,25,42,42,35,193,43,64,75,94,116,11,6,6,13,17,13
1B05H1N,38992817,1,2024-01-14 18:15:53 UTC,Generate Readme with OpenAI,https://github.com/1B05H1N/openai-readme-generator-for-scripts,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
granawkins,38995753,3,2024-01-14 23:57:02 UTC,Mailogy: AI command-line assistant for large email corpora,https://github.com/granawkins/mailogy,28,7,7,0,4,2,15,0,0,0,0,0,10,0,0,0,0,0,5,0,1,0,1,0,3,0,0,0,0,0
lambdaba,39014361,2,2024-01-16 15:31:20 UTC,"Bespoke Automata, a GUI and deployment pipeline for making complex AI agents",https://github.com/C0deMunk33/bespoke_automata,29,11,4,4,0,5,47,8,4,4,0,2,14,2,1,1,0,0,3,1,2,2,0,0,2,1,1,1,0,1
3Sophons,39015988,2,2024-01-16 17:27:19 UTC,"LlamaEdge: Lightweight portable LLM tools for your local, edge& server devices",https://github.com/second-state/LlamaEdge,66,0,0,0,0,0,42,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
madrox,39019465,28,2024-01-16 21:34:49 UTC,NFL Pick-Em's LLM Bot,https://github.com/stevekrenzel/pick-ems,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
vincent_s,39026232,1,2024-01-17 11:13:42 UTC,Drop-in replacement for the OpenAI API based on open source LLMs,https://github.com/theodo-group/GenossGPT,11,8,7,14,14,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0
Refried4281,39027554,1,2024-01-17 13:44:46 UTC,Show HN: Glide – Cloud Native Multi-LLM Routing,https://github.com/EinStack/glide,46,14,6,12,14,14,102,66,73,46,19,19,31,24,24,44,18,18,6,4,2,3,3,3,2,4,1,4,5,5
vldr,39029469,1,2024-01-17 15:59:04 UTC,Clai – improve shell skills on the command line using AI,https://github.com/iivvoo/clai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
